                   1         2         3         4         5         6         7         8         9        10
         1              0.8156    0.7219     0.886    0.8286    0.8821    0.8155    0.8934    0.8226    0.8855
         2    0.8156              0.8205    0.8845    0.7956    0.8784    0.8839    0.6901    0.6603    0.8709
         3    0.7219    0.8205               0.891    0.8118    0.8272    0.8858     0.823    0.7928    0.8459
         4     0.886    0.8845     0.891              0.8879    0.8252    0.8177    0.8748    0.8256    0.8163
         5    0.8286    0.7956    0.8118    0.8879              0.8926     0.828    0.8957    0.8292    0.8977
         6    0.8821    0.8784    0.8272    0.8252    0.8926               0.823    0.8125    0.8201    0.8078
         7    0.8155    0.8839    0.8858    0.8177     0.828     0.823              0.8776    0.8839    0.8178
         8    0.8934    0.6901     0.823    0.8748    0.8957    0.8125    0.8776              0.8123    0.6811
         9    0.8226    0.6603    0.7928    0.8256    0.8292    0.8201    0.8839    0.8123              0.8772
        10    0.8855    0.8709    0.8459    0.8163    0.8977    0.8078    0.8178    0.6811    0.8772          
